ProjectAccession,Instrument,Quantification Method,Software,PTM
PXD006908,MS:1001911,PRIDE:0000440,,MOD:00425|MOD:00394|MOD:00397
PXD007733,MS:1001911,,,MOD:00425|MOD:00394
PXD007100,MS:1001910,PRIDE:0000436,,MOD:00425|MOD:00696|MOD:00397
PXD007223,MS:1001541,PRIDE:0000312,,MOD:00709|MOD:01458|MOD:00397
PXD007546,MS:1001742,PRIDE:0000315,,PRIDE:0000398
PXD002300,MS:1000449,PRIDE:0000436,,PRIDE:0000398
PXD006828,MS:1000932,PRIDE:0000435,,MOD:00696|MOD:01148|MOD:00783|MOD:00397
PXD008976,MS:1001742,,,PRIDE:0000398
PXD007184,MS:1001911,PRIDE:0000312,,MOD:00425|MOD:00397|MOD:00400
PXD007270,MS:1001911,,,PRIDE:0000398
PXD007137,MS:1000449|MS:1001911,PRIDE:0000425|PRIDE:0000315|PRIDE:0000436,,UNIMOD:188|UNIMOD:21|UNIMOD:267|UNIMOD:4|UNIMOD:35
PXD007230,MS:1001742,PRIDE:0000315,,MOD:00544
PXD007155,MS:1001910,,,MOD:00397
PXD000905,MS:1000697,,,MOD:00425|MOD:00397
PXD007538,MS:1001911,,,MOD:00425|MOD:00397|MOD:00408
PXD002354,MS:1000190|MS:1001911,PRIDE:0000313,,MOD:00425|MOD:01160|MOD:00394|MOD:00397|MOD:00400|MOD:01499|MOD:00704
PXD007839,MS:1002533,,,MOD:00425|MOD:00397
PXD007770,MS:1002523,PRIDE:0000425,,MOD:00394|MOD:00719|MOD:00397
PXD007234,MS:1001911,PRIDE:0000323,,MOD:00425|MOD:00394|MOD:00397
PXD007236,MS:1001742,PRIDE:0000315,,MOD:00394|MOD:00397
PXD007211,MS:1000447,PRIDE:0000314,,MOD:01720
PXD007232,MS:1001742,PRIDE:0000312,,MOD:00425|MOD:00397
PXD007193,MS:1001742,PRIDE:0000425,,MOD:00425|MOD:00397
PXD007139,MS:1001911,PRIDE:0000436,,MOD:00397
PXD001159,MS:1000201,,,MOD:00425|MOD:00397
PXD007144,MS:1001911,,,PRIDE:0000398
PXD007273,MS:1001911,,,MOD:00397
PXD007281,MS:1002416,PRIDE:0000314,,MOD:00425|MOD:00397
PXD007527,MS:1001911,PRIDE:0000425,,MOD:00425|MOD:00394|MOD:00397
PXD000349,,,,MOD:00425|MOD:00397
PXD000963,MS:1000658,,,MOD:00425|MOD:00397
PXD007140,MS:1001910|MS:1000449,,,MOD:00425
PXD007852,MS:1002416,PRIDE:0000436,,MOD:00425|MOD:00397|MOD:00400
PXD007851,MS:1002416,PRIDE:0000314,,MOD:01720|MOD:00397
PXD003236,MS:1001911,,,MOD:00425|MOD:00394
PXD007532,MS:1000449,,,PRIDE:0000398
PXD007154,MS:1001782|MS:1002416|MS:1001911,,,MOD:00425|MOD:00429|MOD:00696|MOD:00493|MOD:00394|MOD:01678|MOD:01892|MOD:00083|MOD:00599
PXD007239,MS:1001911,PRIDE:0000425,,MOD:00425|MOD:00397
PXD007168,MS:1000122,PRIDE:0000315,,MOD:00425|MOD:00398
